ID,zn,chas,rm,dis,rad,tax,medv
254,22,0,8.259,8.9067,7,330,42.8
261,20,0,7.203,2.1121,5,264,33.8
262,20,0,7.52,2.1398,5,264,43.1
263,20,0,8.398,2.2885,5,264,48.8
264,20,0,7.327,2.0788,5,264,31
265,20,0,7.206,1.9301,5,264,36.5
266,20,0,5.56,1.9865,5,264,22.8
267,20,0,7.014,2.1329,5,264,30.7
269,20,0,7.47,2.872,5,264,43.5
272,20,0,6.24,4.429,3,223,25.2
273,20,0,6.538,3.9175,3,223,24.4
274,20,1,7.691,4.3665,3,223,35.2
275,40,1,6.758,4.0776,4,254,32.4
280,20,0,6.812,4.1007,5,216,35.1
282,20,0,6.968,5.2447,5,216,35.4
283,20,1,7.645,5.2119,5,216,46
284,90,1,7.923,5.885,1,198,50
285,90,0,7.088,7.3073,1,285,32.2
286,55,0,6.453,7.3073,1,300,22
287,80,0,6.23,9.0892,1,241,20.1
289,52.5,0,6.315,7.3172,6,293,22.3
291,80,0,6.861,5.1167,4,245,28.5
293,80,0,6.63,5.1167,4,245,27.9
294,0,0,6.127,5.5027,4,289,23.9
297,0,0,6.549,5.9604,4,289,27.1
298,0,0,5.79,6.32,4,289,20.3
302,34,0,6.59,5.4917,7,329,22
303,34,0,6.495,5.4917,7,329,26.4
304,34,0,6.982,5.4917,7,329,33.1
305,33,0,7.236,4.022,7,222,36.1
306,33,0,6.616,3.37,7,222,28.4
307,33,0,7.42,3.0992,7,222,33.4
309,0,0,6.635,3.3175,4,304,22.8
310,0,0,5.972,3.1025,4,304,20.3
311,0,0,4.973,2.5194,4,304,16.1
312,0,0,6.122,2.6403,4,304,22.1
313,0,0,6.023,2.834,4,304,19.4
316,0,0,5.705,3.945,4,304,16.2
317,0,0,5.914,3.9986,4,304,17.8
318,0,0,5.782,4.0317,4,304,19.8
319,0,0,6.382,3.5325,4,304,23.1
321,0,0,6.426,4.5404,5,287,23.8
325,0,0,6.415,4.7211,5,287,25
326,0,0,6.431,5.4159,5,287,24.6
328,0,0,6.083,5.4159,5,287,22.2
329,0,0,5.868,5.2146,4,430,19.3
331,0,0,6.144,5.8736,4,430,19.8
334,0,0,6.316,6.4584,5,224,22.2
335,0,0,6.31,6.4584,5,224,20.7
337,0,0,5.869,5.2311,5,224,19.5
339,0,0,6.059,4.8122,5,224,20.6
340,0,0,5.985,4.8122,5,224,19
341,0,0,5.968,4.8122,5,224,18.7
342,35,0,7.241,7.0379,1,284,32.7
343,0,0,6.54,6.2669,1,422,16.5
344,55,0,6.696,5.7321,5,370,23.9
345,55,0,6.874,6.4654,5,370,31.2
348,85,0,6.516,8.5353,4,351,23.1
349,80,0,6.635,8.344,4,280,24.5
350,40,0,6.939,8.7921,1,335,26.6
353,60,0,5.884,10.7103,4,411,18.6
357,0,1,6.212,2.1222,24,666,17.8
358,0,1,6.395,2.5052,24,666,21.7
359,0,1,6.127,2.7227,24,666,22.7
360,0,0,6.112,2.5091,24,666,22.6
361,0,0,6.398,2.5182,24,666,25
363,0,0,5.362,2.1036,24,666,20.8
366,0,0,3.561,1.6132,24,666,27.5
367,0,0,4.963,1.7523,24,666,21.9
368,0,0,3.863,1.5106,24,666,23.1
369,0,0,4.97,1.3325,24,666,50
371,0,1,7.016,1.2024,24,666,50
372,0,0,6.216,1.1691,24,666,50
373,0,1,5.875,1.1296,24,666,50
374,0,0,4.906,1.1742,24,666,13.8
375,0,0,4.138,1.137,24,666,13.8
377,0,0,6.649,1.3449,24,666,13.9
378,0,0,6.794,1.358,24,666,13.3
383,0,0,5.536,1.5804,24,666,11.3
384,0,0,5.52,1.5331,24,666,12.3
385,0,0,4.368,1.4395,24,666,8.8
387,0,0,4.652,1.4672,24,666,10.5
388,0,0,5,1.5184,24,666,7.4
390,0,0,5.39,1.7281,24,666,11.5
392,0,0,6.051,2.1678,24,666,23.2
393,0,0,5.036,1.77,24,666,9.7
395,0,0,5.887,1.7821,24,666,12.7
397,0,0,6.405,1.6768,24,666,12.5
399,0,0,5.453,1.4896,24,666,5
401,0,0,5.987,1.5888,24,666,5.6
402,0,0,6.343,1.5741,24,666,7.2
404,0,0,5.349,1.7028,24,666,8.3
408,0,0,5.608,1.2852,24,666,27.9
409,0,0,5.617,1.4547,24,666,17.2
414,0,0,5.155,1.5894,24,666,16.3
415,0,0,4.519,1.6582,24,666,7
416,0,0,6.434,1.8347,24,666,7.2
418,0,0,5.304,1.6475,24,666,10.4
419,0,0,5.957,1.8026,24,666,8.8
420,0,0,6.824,1.794,24,666,8.4
425,0,0,5.565,2.0635,24,666,11.7
426,0,0,5.896,1.9096,24,666,8.3
428,0,0,6.202,1.8629,24,666,10.9
429,0,0,6.193,1.9356,24,666,11
430,0,0,6.38,1.9682,24,666,9.5
432,0,0,6.833,2.0882,24,666,14.1
433,0,0,6.425,2.2004,24,666,16.1
434,0,0,6.436,2.3158,24,666,14.3
435,0,0,6.208,2.2222,24,666,11.7
438,0,0,6.152,1.9142,24,666,8.7
440,0,0,5.627,1.8172,24,666,12.8
441,0,0,5.818,1.8662,24,666,10.5
442,0,0,6.406,2.0651,24,666,17.1
443,0,0,6.219,2.0048,24,666,18.4
444,0,0,6.485,1.9784,24,666,15.4
445,0,0,5.854,1.8956,24,666,10.8
446,0,0,6.459,1.9879,24,666,11.8
448,0,0,6.251,2.198,24,666,12.6
449,0,0,6.185,2.2616,24,666,14.1
452,0,0,6.655,2.3552,24,666,15.2
453,0,0,6.297,2.3682,24,666,16.1
454,0,0,7.393,2.4527,24,666,17.8
456,0,0,6.525,2.4358,24,666,14.1
458,0,0,5.936,2.7792,24,666,13.5
459,0,0,6.301,2.7831,24,666,14.9
460,0,0,6.081,2.7175,24,666,20
461,0,0,6.701,2.5975,24,666,16.4
462,0,0,6.376,2.5671,24,666,17.7
463,0,0,6.317,2.7344,24,666,19.5
464,0,0,6.513,2.8016,24,666,20.2
465,0,0,6.209,2.9634,24,666,21.4
466,0,0,5.759,3.0665,24,666,19.9
467,0,0,5.952,2.8715,24,666,19
468,0,0,6.003,2.5403,24,666,19.1
469,0,0,5.926,2.9084,24,666,19.1
470,0,0,5.713,2.8237,24,666,20.1
472,0,0,6.229,3.0993,24,666,19.6
473,0,0,6.437,2.8965,24,666,23.2
475,0,0,5.427,2.4298,24,666,13.8
477,0,0,6.484,2.3053,24,666,16.7
478,0,0,5.304,2.1007,24,666,12
479,0,0,6.185,2.1705,24,666,14.6
480,0,0,6.229,1.9512,24,666,21.4
481,0,0,6.242,3.4242,24,666,23
482,0,0,6.75,3.3317,24,666,23.7
484,0,0,5.762,4.0983,24,666,21.8
485,0,0,5.871,3.724,24,666,20.6
487,0,0,6.114,3.5459,24,666,19.1
488,0,0,5.905,3.1523,24,666,20.6
489,0,0,5.454,1.8209,4,711,15.2
491,0,0,5.093,1.8226,4,711,8.1
492,0,0,5.983,1.8681,4,711,13.6
493,0,0,5.983,2.1099,4,711,20.1
494,0,0,5.707,2.3817,6,391,21.8
498,0,0,5.794,2.8927,6,391,18.3
500,0,0,5.569,2.3999,6,391,17.5
502,0,0,6.593,2.4786,1,273,22.4
503,0,0,6.12,2.2875,1,273,20.6
504,0,0,6.976,2.1675,1,273,23.9
506,0,0,6.03,2.505,1,273,11.9
