ID,crim,indus,nox,age,ptratio,black,lstat
381,88.9762,18.1,0.671,91.9,20.2,396.9,17.21
382,15.8744,18.1,0.671,99.1,20.2,396.9,21.08
386,16.8118,18.1,0.7,98.1,20.2,396.9,30.81
389,14.3337,18.1,0.7,100,20.2,372.92,30.62
391,6.96215,18.1,0.7,97,20.2,394.43,17.11
394,8.64476,18.1,0.693,92.6,20.2,396.9,15.17
396,8.71675,18.1,0.693,98.8,20.2,391.98,17.12
398,7.67202,18.1,0.693,98.9,20.2,393.1,19.92
400,9.91655,18.1,0.693,77.8,20.2,338.16,29.97
403,9.59571,18.1,0.693,100,20.2,376.11,20.31
405,41.5292,18.1,0.693,85.4,20.2,329.46,27.38
406,67.9208,18.1,0.693,100,20.2,384.97,22.98
407,20.7162,18.1,0.659,100,20.2,370.22,23.34
410,14.4383,18.1,0.597,100,20.2,179.36,19.78
411,51.1358,18.1,0.597,100,20.2,2.6,10.11
412,14.0507,18.1,0.597,100,20.2,35.05,21.22
413,18.811,18.1,0.597,100,20.2,28.79,34.37
417,10.8342,18.1,0.679,90.8,20.2,21.57,25.79
421,11.0874,18.1,0.718,100,20.2,318.75,15.02
422,7.02259,18.1,0.718,95.3,20.2,319.98,15.7
423,12.0482,18.1,0.614,87.6,20.2,291.55,14.1
424,7.05042,18.1,0.614,85.1,20.2,2.52,23.29
427,12.2472,18.1,0.584,59.7,20.2,24.65,15.69
431,8.49213,18.1,0.584,86.1,20.2,83.45,17.64
436,11.1604,18.1,0.74,94.6,20.2,109.85,23.27
437,14.4208,18.1,0.74,93.3,20.2,27.49,18.05
439,13.6781,18.1,0.74,87.9,20.2,68.95,34.02
447,6.28807,18.1,0.74,96.4,20.2,318.01,17.79
450,7.52601,18.1,0.713,98.3,20.2,304.21,19.31
451,6.71772,18.1,0.713,92.6,20.2,0.32,17.44
455,9.51363,18.1,0.713,94.1,20.2,6.68,18.71
457,4.66883,18.1,0.713,87.9,20.2,10.48,19.01
471,4.34879,18.1,0.58,84,20.2,396.9,16.29
474,4.64689,18.1,0.614,67.6,20.2,374.68,11.66
476,6.39312,18.1,0.584,97.4,20.2,302.76,24.1
483,5.73116,18.1,0.532,77,20.2,395.28,7.01
486,3.67367,18.1,0.583,51.9,20.2,388.62,10.58
490,0.18337,27.74,0.609,98.3,20.1,344.05,23.97
495,0.27957,9.69,0.585,42.6,19.2,396.9,13.59
496,0.17899,9.69,0.585,28.8,19.2,393.29,17.6
497,0.2896,9.69,0.585,72.9,19.2,396.9,21.14
499,0.23912,9.69,0.585,65.3,19.2,396.9,12.92
501,0.22438,9.69,0.585,79.7,19.2,396.9,14.33
505,0.10959,11.93,0.573,89.3,21,393.45,6.48
