ID,crim,indus,nox,age,ptratio,black,lstat
58,0.01432,1.32,0.411,40.5,15.1,392.9,3.95
59,0.15445,5.13,0.453,29.2,19.7,390.68,6.86
61,0.14932,5.13,0.453,66.2,19.7,395.11,13.15
62,0.17171,5.13,0.453,93.4,19.7,378.08,14.44
64,0.1265,5.13,0.453,43.4,19.7,395.58,9.5
65,0.01951,1.38,0.4161,59.5,18.6,393.24,8.05
66,0.03584,3.37,0.398,17.8,16.1,396.9,4.67
67,0.04379,3.37,0.398,31.1,16.1,396.9,10.24
68,0.05789,6.07,0.409,21.4,18.9,396.21,8.1
69,0.13554,6.07,0.409,36.8,18.9,396.9,13.09
71,0.08826,10.81,0.413,6.6,19.2,383.73,6.72
73,0.09164,10.81,0.413,7.8,19.2,390.91,5.52
74,0.19539,10.81,0.413,6.2,19.2,377.17,7.54
75,0.07896,12.83,0.437,6,18.7,394.92,6.78
76,0.09512,12.83,0.437,45,18.7,383.23,8.94
77,0.10153,12.83,0.437,74.5,18.7,373.66,11.97
78,0.08707,12.83,0.437,45.8,18.7,386.96,10.27
81,0.04113,4.86,0.426,33.5,19,396.9,5.29
82,0.04462,4.86,0.426,70.4,19,395.63,7.22
84,0.03551,4.86,0.426,46.7,19,390.64,7.51
85,0.05059,4.49,0.449,48,18.5,396.9,9.62
86,0.05735,4.49,0.449,56.1,18.5,392.3,6.53
87,0.05188,4.49,0.449,45.1,18.5,395.99,12.86
88,0.07151,4.49,0.449,56.8,18.5,395.15,8.44
89,0.0566,3.41,0.489,86.3,17.8,396.9,5.5
90,0.05302,3.41,0.489,63.1,17.8,396.06,5.7
91,0.04684,3.41,0.489,66.1,17.8,392.18,8.81
94,0.02875,15.04,0.464,28.9,18.2,396.33,6.21
95,0.04294,15.04,0.464,77.3,18.2,396.9,10.59
97,0.11504,2.89,0.445,69.6,18,391.83,11.34
101,0.14866,8.56,0.52,79.9,20.9,394.76,9.42
102,0.11432,8.56,0.52,71.3,20.9,395.58,7.67
103,0.22876,8.56,0.52,85.4,20.9,70.8,10.63
104,0.21161,8.56,0.52,87.4,20.9,394.47,13.44
107,0.1712,8.56,0.52,91.9,20.9,395.67,18.66
108,0.13117,8.56,0.52,85.2,20.9,387.69,14.09
109,0.12802,8.56,0.52,97.1,20.9,395.24,12.27
110,0.26363,8.56,0.52,91.2,20.9,391.23,15.55
112,0.10084,10.01,0.547,81.6,17.8,395.59,10.16
115,0.14231,10.01,0.547,84.2,17.8,388.74,10.45
117,0.13158,10.01,0.547,72.5,17.8,393.3,12.04
118,0.15098,10.01,0.547,82.6,17.8,394.51,10.3
119,0.13058,10.01,0.547,73.1,17.8,338.63,15.37
120,0.14476,10.01,0.547,65.2,17.8,391.5,13.61
121,0.06899,25.65,0.581,69.7,19.1,389.15,14.37
122,0.07165,25.65,0.581,84.1,19.1,377.67,14.27
123,0.09299,25.65,0.581,92.9,19.1,378.09,17.93
124,0.15038,25.65,0.581,97,19.1,370.31,25.41
125,0.09849,25.65,0.581,95.8,19.1,379.38,17.58
127,0.38735,25.65,0.581,95.6,19.1,359.29,27.26
128,0.25915,21.89,0.624,96,21.2,392.11,17.19
129,0.32543,21.89,0.624,98.8,21.2,396.9,15.39
132,1.19294,21.89,0.624,97.7,21.2,396.9,12.26
134,0.32982,21.89,0.624,95.4,21.2,388.69,15.03
135,0.97617,21.89,0.624,98.4,21.2,262.76,17.31
137,0.32264,21.89,0.624,93.5,21.2,378.25,16.9
138,0.35233,21.89,0.624,98.4,21.2,394.08,14.59
139,0.2498,21.89,0.624,98.2,21.2,392.04,21.32
140,0.54452,21.89,0.624,97.9,21.2,396.9,18.46
142,1.62864,21.89,0.624,100,21.2,396.9,34.41
143,3.32105,19.58,0.871,100,14.7,396.9,26.82
146,2.37934,19.58,0.871,100,14.7,172.91,27.8
148,2.36862,19.58,0.871,95.7,14.7,391.71,29.53
149,2.33099,19.58,0.871,93.8,14.7,356.99,28.32
150,2.73397,19.58,0.871,94.9,14.7,351.85,21.45
151,1.6566,19.58,0.871,97.3,14.7,372.8,14.1
154,2.14918,19.58,0.871,98.5,14.7,261.95,15.79
155,1.41385,19.58,0.871,96,14.7,321.02,15.12
157,2.44668,19.58,0.871,94,14.7,88.63,16.14
159,1.34284,19.58,0.605,100,14.7,353.89,6.43
160,1.42502,19.58,0.871,100,14.7,364.31,7.39
161,1.27346,19.58,0.605,92.6,14.7,338.92,5.5
162,1.46336,19.58,0.605,90.8,14.7,374.43,1.73
164,1.51902,19.58,0.605,93.9,14.7,388.45,3.32
165,2.24236,19.58,0.605,91.8,14.7,395.11,11.64
166,2.924,19.58,0.605,93,14.7,240.16,9.81
167,2.01019,19.58,0.605,96.2,14.7,369.3,3.7
168,1.80028,19.58,0.605,79.2,14.7,227.61,12.14
170,2.44953,19.58,0.605,95.2,14.7,330.04,11.32
171,1.20742,19.58,0.605,94.6,14.7,292.29,14.43
172,2.3139,19.58,0.605,97.3,14.7,348.13,12.03
173,0.13914,4.05,0.51,88.5,16.6,396.9,14.69
174,0.09178,4.05,0.51,84.1,16.6,395.5,9.04
175,0.08447,4.05,0.51,68.7,16.6,393.23,9.64
176,0.06664,4.05,0.51,33.1,16.6,390.96,5.33
177,0.07022,4.05,0.51,47.2,16.6,393.23,10.11
178,0.05425,4.05,0.51,73.4,16.6,395.6,6.29
179,0.06642,4.05,0.51,74.4,16.6,391.27,6.92
180,0.0578,2.46,0.488,58.4,17.8,396.9,5.04
181,0.06588,2.46,0.488,83.3,17.8,395.56,7.56
182,0.06888,2.46,0.488,62.2,17.8,396.9,9.45
183,0.09103,2.46,0.488,92.2,17.8,394.12,4.82
184,0.10008,2.46,0.488,95.6,17.8,396.9,5.68
187,0.05602,2.46,0.488,53.6,17.8,392.63,4.45
188,0.07875,3.44,0.437,41.1,15.2,393.87,6.68
190,0.0837,3.44,0.437,38.9,15.2,396.9,5.39
191,0.09068,3.44,0.437,21.5,15.2,377.68,5.1
192,0.06911,3.44,0.437,30.8,15.2,389.71,4.69
193,0.08664,3.44,0.437,26.3,15.2,390.49,2.87
194,0.02187,2.93,0.401,9.9,15.6,393.37,5.03
195,0.01439,2.93,0.401,18.8,15.6,376.7,4.38
198,0.04666,1.52,0.404,36.6,12.6,354.31,8.61
201,0.01778,1.47,0.403,13.9,17,384.3,4.45
202,0.03445,2.03,0.415,38.4,14.7,393.77,7.43
204,0.0351,2.68,0.4161,33.2,14.7,392.78,3.81
205,0.02009,2.68,0.4161,31.9,14.7,390.55,2.88
206,0.13642,10.59,0.489,22.3,18.6,396.9,10.87
207,0.22969,10.59,0.489,52.5,18.6,394.87,10.97
209,0.13587,10.59,0.489,59.1,18.6,381.32,14.66
212,0.37578,10.59,0.489,88.6,18.6,395.24,23.98
214,0.14052,10.59,0.489,32.3,18.6,385.81,9.38
215,0.28955,10.59,0.489,9.8,18.6,348.93,29.55
217,0.0456,13.89,0.55,56,16.4,392.8,13.51
222,0.40771,6.2,0.507,91.3,17.4,395.24,21.46
223,0.62356,6.2,0.507,77.7,17.4,390.39,9.93
224,0.6147,6.2,0.507,80.8,17.4,396.9,7.6
225,0.31533,6.2,0.504,78.3,17.4,385.05,4.14
226,0.52693,6.2,0.504,83,17.4,382,4.63
227,0.38214,6.2,0.504,86.5,17.4,387.38,3.13
228,0.41238,6.2,0.504,79.9,17.4,372.08,6.36
230,0.44178,6.2,0.504,21.4,17.4,380.34,3.76
231,0.537,6.2,0.504,68.1,17.4,378.35,11.65
233,0.57529,6.2,0.507,73.3,17.4,385.91,2.47
234,0.33147,6.2,0.507,70.4,17.4,378.95,3.95
235,0.44791,6.2,0.507,66.5,17.4,360.2,8.05
236,0.33045,6.2,0.507,61.5,17.4,376.75,10.88
237,0.52058,6.2,0.507,76.5,17.4,388.45,9.54
241,0.11329,4.93,0.428,54.3,16.6,391.25,11.38
243,0.1029,4.93,0.428,52.9,16.6,372.75,11.22
244,0.12757,4.93,0.428,7.8,16.6,374.71,5.19
245,0.20608,5.86,0.431,76.5,19.1,372.49,12.5
247,0.33983,5.86,0.431,34.9,19.1,390.18,9.16
249,0.16439,5.86,0.431,49.1,19.1,374.71,9.52
250,0.19073,5.86,0.431,17.5,19.1,393.74,6.56
251,0.1403,5.86,0.431,13,19.1,396.28,5.9
252,0.21409,5.86,0.431,8.9,19.1,377.07,3.59
254,0.36894,5.86,0.431,8.4,19.1,396.9,3.54
261,0.54011,3.97,0.647,81.8,13,392.8,9.59
262,0.53412,3.97,0.647,89.4,13,388.37,7.26
263,0.52014,3.97,0.647,91.5,13,386.86,5.91
264,0.82526,3.97,0.647,94.5,13,393.42,11.25
265,0.55007,3.97,0.647,91.6,13,387.89,8.1
266,0.76162,3.97,0.647,62.8,13,392.4,10.45
267,0.7857,3.97,0.647,84.6,13,384.07,14.79
269,0.5405,3.97,0.575,52.6,13,390.3,3.16
272,0.16211,6.96,0.464,16.3,18.6,396.9,6.59
273,0.1146,6.96,0.464,58.7,18.6,394.96,7.73
274,0.22188,6.96,0.464,51.8,18.6,390.77,6.58
275,0.05644,6.41,0.447,32.9,17.6,396.9,3.53
280,0.21038,3.33,0.4429,32.2,14.9,396.9,4.85
282,0.03705,3.33,0.4429,37.2,14.9,392.23,4.59
283,0.06129,3.33,0.4429,49.7,14.9,377.07,3.01
284,0.01501,1.21,0.401,24.8,13.6,395.52,3.16
285,0.00906,2.97,0.4,20.8,15.3,394.72,7.85
286,0.01096,2.25,0.389,31.9,15.3,394.72,8.23
287,0.01965,1.76,0.385,31.5,18.2,341.6,12.93
289,0.0459,5.32,0.405,45.6,16.6,396.9,7.6
291,0.03502,4.95,0.411,27.9,19.2,396.9,3.33
293,0.03615,4.95,0.411,23.4,19.2,396.9,4.7
294,0.08265,13.92,0.437,18.4,16,396.9,8.58
297,0.05372,13.92,0.437,51,16,392.85,7.39
298,0.14103,13.92,0.437,58,16,396.9,15.84
302,0.03537,6.09,0.433,40.4,16.1,395.75,9.5
303,0.09266,6.09,0.433,18.4,16.1,383.61,8.67
304,0.1,6.09,0.433,17.7,16.1,390.43,4.86
305,0.05515,2.18,0.472,41.1,18.4,393.68,6.93
306,0.05479,2.18,0.472,58.1,18.4,393.36,8.93
307,0.07503,2.18,0.472,71.9,18.4,396.9,6.47
309,0.49298,9.9,0.544,82.5,18.4,396.9,4.54
310,0.3494,9.9,0.544,76.7,18.4,396.24,9.97
311,2.63548,9.9,0.544,37.8,18.4,350.45,12.64
312,0.79041,9.9,0.544,52.8,18.4,396.9,5.98
313,0.26169,9.9,0.544,90.4,18.4,396.3,11.72
316,0.25356,9.9,0.544,77.7,18.4,396.42,11.5
317,0.31827,9.9,0.544,83.2,18.4,390.7,18.33
318,0.24522,9.9,0.544,71.7,18.4,396.9,15.94
319,0.40202,9.9,0.544,67.2,18.4,395.21,10.36
321,0.1676,7.38,0.493,52.3,19.6,396.9,7.2
325,0.34109,7.38,0.493,40.1,19.6,396.9,6.12
326,0.19186,7.38,0.493,14.7,19.6,393.68,5.08
328,0.24103,7.38,0.493,43.7,19.6,396.9,12.79
329,0.06617,3.24,0.46,25.8,16.9,382.44,9.97
331,0.04544,3.24,0.46,32.2,16.9,368.57,9.09
334,0.05083,5.19,0.515,38.1,20.2,389.71,5.68
335,0.03738,5.19,0.515,38.5,20.2,389.4,6.75
337,0.03427,5.19,0.515,46.3,20.2,396.9,9.8
339,0.03306,5.19,0.515,37.3,20.2,396.14,8.51
340,0.05497,5.19,0.515,45.4,20.2,396.9,9.74
341,0.06151,5.19,0.515,58.5,20.2,396.9,9.29
342,0.01301,1.52,0.442,49.3,15.5,394.74,5.49
343,0.02498,1.89,0.518,59.7,15.9,389.96,8.65
344,0.02543,3.78,0.484,56.4,17.6,396.9,7.18
345,0.03049,3.78,0.484,28.1,17.6,387.97,4.61
348,0.0187,4.15,0.429,27.7,17.9,392.43,6.36
349,0.01501,2.01,0.435,29.7,17,390.94,5.99
350,0.02899,1.25,0.429,34.5,19.7,389.85,5.89
353,0.07244,1.69,0.411,18.5,18.3,392.33,7.79
357,8.98296,18.1,0.77,97.4,20.2,377.73,17.6
358,3.8497,18.1,0.77,91,20.2,391.34,13.27
359,5.20177,18.1,0.77,83.4,20.2,395.43,11.48
360,4.26131,18.1,0.77,81.3,20.2,390.74,12.67
361,4.54192,18.1,0.77,88,20.2,374.56,7.79
363,3.67822,18.1,0.77,96.2,20.2,380.79,10.19
366,4.55587,18.1,0.718,87.9,20.2,354.7,7.12
367,3.69695,18.1,0.718,91.4,20.2,316.03,14
368,13.5222,18.1,0.631,100,20.2,131.42,13.33
369,4.89822,18.1,0.631,100,20.2,375.52,3.26
371,6.53876,18.1,0.631,97.5,20.2,392.05,2.96
372,9.2323,18.1,0.631,100,20.2,366.15,9.53
373,8.26725,18.1,0.668,89.6,20.2,347.88,8.88
374,11.1081,18.1,0.668,100,20.2,396.9,34.77
375,18.4982,18.1,0.668,100,20.2,396.9,37.97
377,15.288,18.1,0.671,93.3,20.2,363.02,23.24
378,9.82349,18.1,0.671,98.8,20.2,396.9,21.24
383,9.18702,18.1,0.7,100,20.2,396.9,23.6
384,7.99248,18.1,0.7,100,20.2,396.9,24.56
385,20.0849,18.1,0.7,91.2,20.2,285.83,30.63
387,24.3938,18.1,0.7,100,20.2,396.9,28.28
388,22.5971,18.1,0.7,89.5,20.2,396.9,31.99
390,8.15174,18.1,0.7,98.9,20.2,396.9,20.85
392,5.29305,18.1,0.7,82.5,20.2,378.38,18.76
393,11.5779,18.1,0.7,97,20.2,396.9,25.68
395,13.3598,18.1,0.693,94.7,20.2,396.9,16.35
397,5.87205,18.1,0.693,96,20.2,396.9,19.37
399,38.3518,18.1,0.693,100,20.2,396.9,30.59
401,25.0461,18.1,0.693,100,20.2,396.9,26.77
402,14.2362,18.1,0.693,100,20.2,396.9,20.32
404,24.8017,18.1,0.693,96,20.2,396.9,19.77
408,11.9511,18.1,0.659,100,20.2,332.09,12.13
409,7.40389,18.1,0.597,97.9,20.2,314.64,26.4
414,28.6558,18.1,0.597,100,20.2,210.97,20.08
415,45.7461,18.1,0.693,100,20.2,88.27,36.98
416,18.0846,18.1,0.679,100,20.2,27.25,29.05
418,25.9406,18.1,0.679,89.1,20.2,127.36,26.64
419,73.5341,18.1,0.679,100,20.2,16.45,20.62
420,11.8123,18.1,0.718,76.5,20.2,48.45,22.74
425,8.79212,18.1,0.584,70.6,20.2,3.65,17.16
426,15.8603,18.1,0.679,95.4,20.2,7.68,24.39
428,37.6619,18.1,0.679,78.7,20.2,18.82,14.52
429,7.36711,18.1,0.679,78.1,20.2,96.73,21.52
430,9.33889,18.1,0.679,95.6,20.2,60.72,24.08
432,10.0623,18.1,0.584,94.3,20.2,81.33,19.69
433,6.44405,18.1,0.584,74.8,20.2,97.95,12.03
434,5.58107,18.1,0.713,87.9,20.2,100.19,16.22
435,13.9134,18.1,0.713,95,20.2,100.63,15.17
438,15.1772,18.1,0.74,100,20.2,9.32,26.45
440,9.39063,18.1,0.74,93.9,20.2,396.9,22.88
441,22.0511,18.1,0.74,92.4,20.2,391.45,22.11
442,9.72418,18.1,0.74,97.2,20.2,385.96,19.52
443,5.66637,18.1,0.74,100,20.2,395.69,16.59
444,9.96654,18.1,0.74,100,20.2,386.73,18.85
445,12.8023,18.1,0.74,96.6,20.2,240.52,23.79
446,10.6718,18.1,0.74,94.8,20.2,43.06,23.98
448,9.92485,18.1,0.74,96.6,20.2,388.52,16.44
449,9.32909,18.1,0.713,98.7,20.2,396.9,18.13
452,5.44114,18.1,0.713,98.2,20.2,355.29,17.73
453,5.09017,18.1,0.713,91.8,20.2,385.09,17.27
454,8.24809,18.1,0.713,99.3,20.2,375.87,16.74
456,4.75237,18.1,0.713,86.5,20.2,50.92,18.13
458,8.20058,18.1,0.713,80.3,20.2,3.5,16.94
459,7.75223,18.1,0.713,83.7,20.2,272.21,16.23
460,6.80117,18.1,0.713,84.4,20.2,396.9,14.7
461,4.81213,18.1,0.713,90,20.2,255.23,16.42
462,3.69311,18.1,0.713,88.4,20.2,391.43,14.65
463,6.65492,18.1,0.713,83,20.2,396.9,13.99
464,5.82115,18.1,0.713,89.9,20.2,393.82,10.29
465,7.83932,18.1,0.655,65.4,20.2,396.9,13.22
466,3.1636,18.1,0.655,48.2,20.2,334.4,14.13
467,3.77498,18.1,0.655,84.7,20.2,22.01,17.15
468,4.42228,18.1,0.584,94.5,20.2,331.29,21.32
469,15.5757,18.1,0.58,71,20.2,368.74,18.13
470,13.0751,18.1,0.58,56.7,20.2,396.9,14.76
472,4.03841,18.1,0.532,90.7,20.2,395.33,12.87
473,3.56868,18.1,0.58,75,20.2,393.37,14.36
475,8.05579,18.1,0.584,95.4,20.2,352.58,18.14
477,4.87141,18.1,0.614,93.6,20.2,396.21,18.68
478,15.0234,18.1,0.614,97.3,20.2,349.48,24.91
479,10.233,18.1,0.614,96.7,20.2,379.7,18.03
480,14.3337,18.1,0.614,88,20.2,383.32,13.11
481,5.82401,18.1,0.532,64.7,20.2,396.9,10.74
482,5.70818,18.1,0.532,74.9,20.2,393.07,7.74
484,2.81838,18.1,0.532,40.3,20.2,392.92,10.42
485,2.37857,18.1,0.583,41.9,20.2,370.73,13.34
487,5.69175,18.1,0.583,79.8,20.2,392.68,14.98
488,4.83567,18.1,0.583,53.2,20.2,388.22,11.45
489,0.15086,27.74,0.609,92.7,20.1,395.09,18.06
491,0.20746,27.74,0.609,98,20.1,318.43,29.68
492,0.10574,27.74,0.609,98.8,20.1,390.11,18.07
493,0.11132,27.74,0.609,83.5,20.1,396.9,13.35
494,0.17331,9.69,0.585,54,19.2,396.9,12.01
498,0.26838,9.69,0.585,70.6,19.2,396.9,14.1
500,0.17783,9.69,0.585,73.5,19.2,395.77,15.1
502,0.06263,11.93,0.573,69.1,21,391.99,9.67
503,0.04527,11.93,0.573,76.7,21,396.9,9.08
504,0.06076,11.93,0.573,91,21,396.9,5.64
506,0.04741,11.93,0.573,80.8,21,396.9,7.88
